year,rain_50m_pct,rain_mo_pct,totbal_50m_pct,totbal_mo_pct
2000,4.1272593,3.9919997,8.7665201,6.3050193000000005
2001,4.6142696,5.847348,7.1483151,7.2574386
2002,1.6556676,6.1482703,2.8873083,8.3071649
2003,0.7220145,7.2454912,2.6562116000000002,10.630063100000001
2004,1.8441961999999998,6.667667400000001,5.2466501,13.992795
2005,2.4598193,6.5062914,9.016673,10.7193012
2006,4.5532732,6.9190367,11.8015968,16.673054
2007,4.7389176,6.8224014,11.3277657,16.3852082
2008,4.8345024,6.9022318,8.292192700000001,17.2561988
2009,2.7282626,6.6283171,4.5827935,9.7412589
2010,1.6383172000000001,6.9671590000000005,4.488299,9.4110809
2011,1.7610590999999998,6.6397599000000005,6.3684039,11.6061484
2012,2.4360494999999998,6.271338,7.9075326,8.841351999999999
2013,3.5580711000000003,6.287152799999999,9.6392264,11.8577321
2014,4.5246132,6.645199799999999,7.2928364,8.899224799999999
2015,4.9183113,6.2076143,9.204277600000001,9.3869009
2016,5.3396705,6.4861273,9.7395795,8.1829761
2017,5.6136891,6.457997499999999,8.3156852,8.291837300000001
2018,6.5477341,6.649616399999999,11.7245839,11.993482
2019,7.929661275870275,6.826614678322117,13.993789848403326,13.68152946355573
2020,8.4397036,7.0813657,12.711728899999999,15.797644199999999
2021,9.8900829,6.1689174,27.1255286,30.217378
2022,11.642068,7.2915388,24.3686343,36.3330847
